epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,213.24,0.50244,0.46125,0.89655,0.88547,0.91137,0.94656,0.85585,0.44973,0.45992,0.84208,0.000977812,0.000325938,0.000977812,0.000325938,0.000977812,0.000325938,0.000977812,0.000325938
31,219.519,0.51044,0.45242,0.90041,0.89191,0.91767,0.95084,0.86386,0.4493,0.46047,0.8409,0.000946875,0.000315625,0.000946875,0.000315625,0.000946875,0.000315625,0.000946875,0.000315625
32,225.491,0.49169,0.41604,0.88964,0.90352,0.91329,0.95195,0.86444,0.45376,0.47184,0.84114,0.000915937,0.000305312,0.000915937,0.000305312,0.000915937,0.000305312,0.000915937,0.000305312
33,230.967,0.50735,0.43099,0.8898,0.91948,0.8973,0.94467,0.85555,0.45583,0.47504,0.84181,0.000885,0.000295,0.000885,0.000295,0.000885,0.000295,0.000885,0.000295
34,236.567,0.49017,0.42322,0.88649,0.94091,0.86911,0.93883,0.84794,0.45753,0.48526,0.84179,0.000854062,0.000284688,0.000854062,0.000284688,0.000854062,0.000284688,0.000854062,0.000284688
35,242.685,0.4742,0.42522,0.87074,0.94626,0.86139,0.93891,0.84833,0.46054,0.45982,0.84174,0.000823125,0.000274375,0.000823125,0.000274375,0.000823125,0.000274375,0.000823125,0.000274375
36,248.495,0.51217,0.43235,0.89433,0.93691,0.86746,0.94017,0.85372,0.45987,0.45977,0.84201,0.000792187,0.000264062,0.000792187,0.000264062,0.000792187,0.000264062,0.000792187,0.000264062
37,254.33,0.50558,0.41829,0.88614,0.93291,0.85864,0.9377,0.8516,0.46332,0.47259,0.84178,0.00076125,0.00025375,0.00076125,0.00025375,0.00076125,0.00025375,0.00076125,0.00025375
38,260.15,0.48882,0.42033,0.88208,0.90466,0.88049,0.93036,0.84707,0.4651,0.49748,0.84158,0.000730312,0.000243437,0.000730312,0.000243437,0.000730312,0.000243437,0.000730312,0.000243437
39,266.288,0.49288,0.39554,0.88496,0.90803,0.87782,0.92675,0.84495,0.46524,0.49757,0.84111,0.000699375,0.000233125,0.000699375,0.000233125,0.000699375,0.000233125,0.000699375,0.000233125
40,272.01,0.47437,0.4035,0.88438,0.90174,0.88189,0.92826,0.84271,0.46608,0.49534,0.84201,0.000668437,0.000222813,0.000668437,0.000222813,0.000668437,0.000222813,0.000668437,0.000222813
41,278.505,0.4848,0.39314,0.87313,0.93198,0.87604,0.93171,0.84961,0.46675,0.47855,0.84157,0.0006375,0.0002125,0.0006375,0.0002125,0.0006375,0.0002125,0.0006375,0.0002125
42,284.909,0.45122,0.36925,0.86629,0.9498,0.86966,0.93505,0.85102,0.46341,0.46896,0.84125,0.000606563,0.000202188,0.000606563,0.000202188,0.000606563,0.000202188,0.000606563,0.000202188
43,291.181,0.47733,0.39112,0.88366,0.93279,0.873,0.93934,0.85401,0.46405,0.46127,0.8422,0.000575625,0.000191875,0.000575625,0.000191875,0.000575625,0.000191875,0.000575625,0.000191875
44,297.007,0.47187,0.38273,0.87783,0.95052,0.85674,0.93921,0.85407,0.46485,0.45385,0.84214,0.000544687,0.000181563,0.000544687,0.000181563,0.000544687,0.000181563,0.000544687,0.000181563
45,302.404,0.45454,0.36118,0.86293,0.94164,0.87265,0.93921,0.85368,0.46344,0.43972,0.84109,0.00051375,0.00017125,0.00051375,0.00017125,0.00051375,0.00017125,0.00051375,0.00017125
46,309.008,0.47567,0.38143,0.88796,0.93596,0.88346,0.94047,0.86126,0.46134,0.43229,0.84019,0.000482813,0.000160938,0.000482813,0.000160938,0.000482813,0.000160938,0.000482813,0.000160938
47,314.479,0.46746,0.37691,0.87412,0.94341,0.87984,0.94343,0.86044,0.45654,0.43493,0.84,0.000451875,0.000150625,0.000451875,0.000150625,0.000451875,0.000150625,0.000451875,0.000150625
48,320.651,0.50769,0.42014,0.9074,0.94627,0.8798,0.94505,0.86409,0.45574,0.43069,0.84037,0.000420937,0.000140313,0.000420937,0.000140313,0.000420937,0.000140313,0.000420937,0.000140313
49,325.787,0.46631,0.38614,0.88417,0.94462,0.88453,0.94518,0.85986,0.45598,0.42712,0.84036,0.00039,0.00013,0.00039,0.00013,0.00039,0.00013,0.00039,0.00013
50,332.663,0.46674,0.37884,0.88512,0.9521,0.88636,0.94505,0.86192,0.45916,0.41484,0.84087,0.000359063,0.000119688,0.000359063,0.000119688,0.000359063,0.000119688,0.000359063,0.000119688
51,345.837,0.40619,0.34209,0.84065,0.95485,0.88961,0.94532,0.86111,0.45832,0.40247,0.84064,0.000328125,0.000109375,0.000328125,0.000109375,0.000328125,0.000109375,0.000328125,0.000109375
52,351.898,0.39012,0.32165,0.82617,0.95568,0.88741,0.94532,0.86444,0.45723,0.38888,0.84044,0.000297188,9.90625e-05,0.000297188,9.90625e-05,0.000297188,9.90625e-05,0.000297188,9.90625e-05
53,358.999,0.41291,0.36038,0.82711,0.9544,0.88518,0.94549,0.86507,0.45938,0.38437,0.84142,0.00026625,8.875e-05,0.00026625,8.875e-05,0.00026625,8.875e-05,0.00026625,8.875e-05
54,365.074,0.39862,0.34907,0.83289,0.95095,0.8835,0.94549,0.86435,0.45712,0.3867,0.84165,0.000235313,7.84375e-05,0.000235313,7.84375e-05,0.000235313,7.84375e-05,0.000235313,7.84375e-05
55,371.75,0.38343,0.30834,0.82124,0.94721,0.88811,0.94734,0.86727,0.45509,0.38092,0.84102,0.000204375,6.8125e-05,0.000204375,6.8125e-05,0.000204375,6.8125e-05,0.000204375,6.8125e-05
56,377.435,0.38356,0.31511,0.82372,0.94482,0.88889,0.94453,0.86179,0.45419,0.38727,0.8406,0.000173438,5.78125e-05,0.000173438,5.78125e-05,0.000173438,5.78125e-05,0.000173438,5.78125e-05
57,383.124,0.39269,0.34201,0.81994,0.94216,0.89219,0.94453,0.86192,0.45329,0.38552,0.84049,0.0001425,4.75e-05,0.0001425,4.75e-05,0.0001425,4.75e-05,0.0001425,4.75e-05
58,389.347,0.38944,0.32376,0.83314,0.94342,0.89524,0.9447,0.86249,0.45247,0.38514,0.84036,0.000111563,3.71875e-05,0.000111563,3.71875e-05,0.000111563,3.71875e-05,0.000111563,3.71875e-05
59,395.811,0.40272,0.33276,0.84246,0.94453,0.89651,0.9447,0.86083,0.45382,0.38494,0.84044,8.0625e-05,2.6875e-05,8.0625e-05,2.6875e-05,8.0625e-05,2.6875e-05,8.0625e-05,2.6875e-05
60,401.733,0.38929,0.30619,0.84377,0.94962,0.89348,0.9447,0.85833,0.45423,0.38518,0.83995,4.96875e-05,1.65625e-05,4.96875e-05,1.65625e-05,4.96875e-05,1.65625e-05,4.96875e-05,1.65625e-05
